threshold, precisionMatchings, recallMatchings, avgPrecisions, avgRecalls, d1, d2, d1d2
0.8, 0.739726, 0.46153846, 0.8103448, 0.5881226, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig13
1, 0.7352941, 0.42735043, 0.83928573, 0.46626982, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig13
0, 0.056478404, 0.8947368, 0.09037037, 0.9777778, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig14
0.2, 0.08888889, 0.84210527, 0.10543211, 0.96666664, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig14
0.4, 0.20689656, 0.6315789, 0.26785713, 0.91071427, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig14
0.6, 0.18518518, 0.2631579, 0.3409091, 0.77272725, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig14
0.8, 0.2777778, 0.2631579, 0.4047619, 0.7619048, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig14
1, 0.2777778, 0.2631579, 0.4047619, 0.7619048, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig1.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig14
0, 0.21293801, 0.7181818, 0.18603176, 0.96095234, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig23
0.2, 0.28014183, 0.7181818, 0.25658265, 0.9578898, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig23
0.4, 0.4642857, 0.59090906, 0.47702017, 0.92922074, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig23
0.6, 0.6436782, 0.5090909, 0.6303419, 0.9022894, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig23
0.8, 0.68085104, 0.29090908, 0.77619046, 0.69238096, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig23
1, 0.81578946, 0.28181818, 0.9066667, 0.6388889, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, antonio_rinaldi/orig23
0, 0.035714287, 0.64285713, 0.109009005, 0.8918919, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig24
0.2, 0.10714286, 0.64285713, 0.15107527, 0.87096775, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig24
0.4, 0.20588236, 0.5, 0.48076922, 0.64102566, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig24
0.6, 0.4, 0.2857143, 0.5416667, 0.52777773, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig24
0.8, 1.0, 0.21428572, 1.0, 0.33333334, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig24
1, 1.0, 0.21428572, 1.0, 0.33333334, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig24
0, 0.06128134, 0.9166667, 0.14345238, 0.96428573, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig34
0.2, 0.14473684, 0.9166667, 0.17952673, 0.962963, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig34
0.4, 0.36363637, 0.8333333, 0.3888889, 0.92129636, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/antonio_rinaldi/orig4.html, antonio_rinaldi/orig34
